22:55:43 --- INFO: epoch: 21, batch: 1, loss: 3.365321397781372, modularity_loss: -0.011544406414031982, purity_loss: 2.6241185665130615, regularization_loss: 0.7527472376823425
22:55:44 --- INFO: epoch: 22, batch: 1, loss: 3.1984400749206543, modularity_loss: -0.013837238773703575, purity_loss: 2.4449715614318848, regularization_loss: 0.767305850982666
22:55:44 --- INFO: epoch: 23, batch: 1, loss: 3.0243306159973145, modularity_loss: -0.01631161756813526, purity_loss: 2.257674217224121, regularization_loss: 0.7829681634902954
22:55:45 --- INFO: epoch: 24, batch: 1, loss: 2.8501272201538086, modularity_loss: -0.01889435015618801, purity_loss: 2.069932460784912, regularization_loss: 0.7990890145301819
22:55:46 --- INFO: epoch: 25, batch: 1, loss: 2.6841187477111816, modularity_loss: -0.02149713970720768, purity_loss: 1.8907043933868408, regularization_loss: 0.8149115443229675
22:55:46 --- INFO: epoch: 26, batch: 1, loss: 2.534320116043091, modularity_loss: -0.024029158055782318, purity_loss: 1.7286635637283325, regularization_loss: 0.8296856880187988
22:55:47 --- INFO: epoch: 27, batch: 1, loss: 2.406726360321045, modularity_loss: -0.02641080506145954, purity_loss: 1.5903602838516235, regularization_loss: 0.8427767753601074
22:55:47 --- INFO: epoch: 28, batch: 1, loss: 2.3039581775665283, modularity_loss: -0.02858588472008705, purity_loss: 1.4787999391555786, regularization_loss: 0.8537440896034241
22:55:48 --- INFO: epoch: 29, batch: 1, loss: 2.224909543991089, modularity_loss: -0.030528275296092033, purity_loss: 1.393075704574585, regularization_loss: 0.8623620271682739
22:55:49 --- INFO: epoch: 30, batch: 1, loss: 2.165768623352051, modularity_loss: -0.032237447798252106, purity_loss: 1.3293819427490234, regularization_loss: 0.8686240911483765
22:55:49 --- INFO: epoch: 31, batch: 1, loss: 2.1216063499450684, modularity_loss: -0.03372929245233536, purity_loss: 1.2826521396636963, regularization_loss: 0.8726834654808044
22:55:50 --- INFO: epoch: 32, batch: 1, loss: 2.0877645015716553, modularity_loss: -0.035026099532842636, purity_loss: 1.2480058670043945, regularization_loss: 0.8747847676277161
22:55:51 --- INFO: epoch: 33, batch: 1, loss: 2.06062650680542, modularity_loss: -0.03614994138479233, purity_loss: 1.2215690612792969, regularization_loss: 0.8752073645591736
22:55:51 --- INFO: epoch: 34, batch: 1, loss: 2.0375938415527344, modularity_loss: -0.03712088614702225, purity_loss: 1.200507402420044, regularization_loss: 0.8742073774337769
22:55:52 --- INFO: epoch: 35, batch: 1, loss: 2.017051935195923, modularity_loss: -0.03795701265335083, purity_loss: 1.1829785108566284, regularization_loss: 0.87203049659729
22:55:52 --- INFO: epoch: 36, batch: 1, loss: 1.9981725215911865, modularity_loss: -0.038675665855407715, purity_loss: 1.1679288148880005, regularization_loss: 0.8689193725585938
22:55:53 --- INFO: epoch: 37, batch: 1, loss: 1.9806549549102783, modularity_loss: -0.039293818175792694, purity_loss: 1.1548271179199219, regularization_loss: 0.8651216626167297
22:55:54 --- INFO: epoch: 38, batch: 1, loss: 1.9643354415893555, modularity_loss: -0.03982659429311752, purity_loss: 1.1432864665985107, regularization_loss: 0.8608754873275757
22:55:54 --- INFO: epoch: 39, batch: 1, loss: 1.9491708278656006, modularity_loss: -0.040289122611284256, purity_loss: 1.1330686807632446, regularization_loss: 0.8563913106918335
22:55:55 --- INFO: epoch: 40, batch: 1, loss: 1.9351563453674316, modularity_loss: -0.040696147829294205, purity_loss: 1.1240161657333374, regularization_loss: 0.8518363237380981
22:55:56 --- INFO: epoch: 41, batch: 1, loss: 1.922361135482788, modularity_loss: -0.0410616360604763, purity_loss: 1.1160690784454346, regularization_loss: 0.8473536372184753
22:55:56 --- INFO: epoch: 42, batch: 1, loss: 1.9108580350875854, modularity_loss: -0.04139888286590576, purity_loss: 1.1092385053634644, regularization_loss: 0.8430184125900269
22:55:57 --- INFO: epoch: 43, batch: 1, loss: 1.900691270828247, modularity_loss: -0.04171629622578621, purity_loss: 1.1034958362579346, regularization_loss: 0.8389117121696472
22:55:57 --- INFO: epoch: 44, batch: 1, loss: 1.8918837308883667, modularity_loss: -0.042019687592983246, purity_loss: 1.0988318920135498, regularization_loss: 0.8350715041160583
22:55:58 --- INFO: epoch: 45, batch: 1, loss: 1.8844448328018188, modularity_loss: -0.04231014475226402, purity_loss: 1.095247745513916, regularization_loss: 0.8315072059631348
22:55:59 --- INFO: epoch: 46, batch: 1, loss: 1.8783173561096191, modularity_loss: -0.04258641600608826, purity_loss: 1.0926891565322876, regularization_loss: 0.8282146453857422
22:55:59 --- INFO: epoch: 47, batch: 1, loss: 1.8734002113342285, modularity_loss: -0.04284638538956642, purity_loss: 1.0910753011703491, regularization_loss: 0.8251712322235107
22:56:00 --- INFO: epoch: 48, batch: 1, loss: 1.8695600032806396, modularity_loss: -0.04308675229549408, purity_loss: 1.090306043624878, regularization_loss: 0.822340726852417
22:56:01 --- INFO: epoch: 49, batch: 1, loss: 1.8665251731872559, modularity_loss: -0.04330217093229294, purity_loss: 1.0901286602020264, regularization_loss: 0.8196987509727478
22:56:01 --- INFO: epoch: 50, batch: 1, loss: 1.8642921447753906, modularity_loss: -0.04349357262253761, purity_loss: 1.0905892848968506, regularization_loss: 0.8171963691711426
22:56:02 --- INFO: epoch: 51, batch: 1, loss: 1.8627533912658691, modularity_loss: -0.043659672141075134, purity_loss: 1.0915948152542114, regularization_loss: 0.814818263053894
22:56:02 --- INFO: epoch: 52, batch: 1, loss: 1.8617334365844727, modularity_loss: -0.043799351900815964, purity_loss: 1.0929570198059082, regularization_loss: 0.8125758171081543
22:56:03 --- INFO: epoch: 53, batch: 1, loss: 1.8611648082733154, modularity_loss: -0.043915215879678726, purity_loss: 1.0946093797683716, regularization_loss: 0.8104705810546875
22:56:04 --- INFO: epoch: 54, batch: 1, loss: 1.8609073162078857, modularity_loss: -0.04400910437107086, purity_loss: 1.096391201019287, regularization_loss: 0.8085251450538635
22:56:04 --- INFO: epoch: 55, batch: 1, loss: 1.860846757888794, modularity_loss: -0.044084157794713974, purity_loss: 1.0981696844100952, regularization_loss: 0.8067612051963806
22:56:05 --- INFO: epoch: 56, batch: 1, loss: 1.8608791828155518, modularity_loss: -0.04414427652955055, purity_loss: 1.0998198986053467, regularization_loss: 0.8052035570144653
